arestas = [
     [1, 0, 31],
     [2, 1, 40],
     [3, 1, 35],
     [3, 2, 73],
     [4, 0, 44],
     [4, 3, 64],
     [5, 0, 85],
     [5, 1, 69],
     [5, 2, 34],
     [5, 3, 69],
     [5, 4, 47],
     [6, 0, 57],
     [6, 1, 55],
     [6, 3, 55],
     [6, 5, 85],
     [7, 0, 44],
     [7, 1, 88],
     [7, 2, 73],
     [7, 5, 80],
     [8, 0, 71],
     [8, 1, 71],
     [8, 2, 39],
     [8, 4, 34],
     [8, 5, 86],
     [8, 6, 56],
     [8, 7, 58],
     [9, 0, 42],
     [9, 1, 55],
     [9, 2, 32],
     [9, 3, 57],
     [9, 5, 70],
     [9, 6, 57],
     [9, 8, 58],
     [10, 1, 86],
     [10, 3, 43],
     [10, 4, 55],
     [10, 5, 82],
     [10, 7, 82],
     [10, 9, 53],
     [11, 0, 65],
     [11, 1, 65],
     [11, 2, 62],
     [11, 4, 51],
     [11, 5, 81],
     [11, 7, 41],
     [11, 8, 30],
     [11, 9, 44],
     [12, 0, 88],
     [12, 1, 66],
     [12, 2, 59],
     [12, 4, 63],
     [12, 5, 63],
     [12, 10, 54],
     [12, 11, 75],
     [13, 1, 36],
     [13, 2, 50],
     [13, 3, 32],
     [13, 6, 54],
     [13, 9, 46],
     [13, 10, 68],
     [13, 11, 45],
     [14, 1, 46],
     [14, 3, 80],
     [14, 5, 55],
     [14, 6, 88],
     [14, 7, 38],
     [14, 9, 30],
     [14, 10, 88],
     [14, 12, 75],
     [14, 13, 58],
     [15, 1, 88],
     [15, 4, 40],
     [15, 5, 81],
     [15, 7, 70],
     [15, 8, 72],
     [15, 9, 83],
     [15, 10, 63],
     [15, 11, 37],
     [15, 13, 38],
     [15, 14, 76],
     [16, 2, 63],
     [16, 5, 31],
     [16, 9, 90],
     [16, 10, 89],
     [16, 11, 74],
     [16, 12, 69],
     [16, 14, 50],
     [16, 15, 71],
     [17, 0, 36],
     [17, 1, 40],
     [17, 3, 56],
     [17, 4, 78],
     [17, 5, 38],
     [17, 6, 43],
     [17, 9, 63],
     [17, 11, 79],
     [17, 12, 37],
     [17, 13, 81],
     [18, 1, 71],
     [18, 2, 90],
     [18, 3, 54],
     [18, 4, 89],
     [18, 6, 30],
     [18, 7, 38],
     [18, 8, 52],
     [18, 9, 35],
     [18, 10, 49],
     [18, 11, 45],
     [18, 12, 33],
     [18, 13, 64],
     [18, 14, 55],
     [18, 15, 57],
     [18, 17, 53],
     [19, 0, 76],
     [19, 1, 37],
     [19, 4, 76],
     [19, 8, 49],
     [19, 9, 84],
     [19, 10, 70],
     [19, 11, 74],
     [19, 13, 46],
     [19, 16, 35],
     [19, 17, 66]
]
