arestas = [
     [1, 0, 85],
     [2, 0, 59],
     [2, 1, 89],
     [3, 0, 34],
     [3, 1, 57],
     [3, 2, 59],
     [4, 1, 44],
     [4, 3, 73],
     [5, 0, 73],
     [5, 1, 67],
     [5, 4, 48],
     [6, 1, 34],
     [6, 2, 42],
     [6, 3, 40],
     [6, 4, 77],
     [6, 5, 60],
     [7, 1, 32],
     [7, 2, 65],
     [7, 3, 37],
     [7, 4, 62],
     [7, 6, 64],
     [8, 1, 31],
     [8, 2, 86],
     [8, 3, 51],
     [8, 4, 32],
     [8, 6, 40],
     [9, 0, 80],
     [9, 2, 77],
     [9, 6, 64],
     [10, 0, 51],
     [10, 3, 66],
     [10, 6, 57],
     [10, 7, 79],
     [10, 8, 30],
     [10, 9, 78],
     [11, 0, 37],
     [11, 1, 73],
     [11, 3, 33],
     [11, 4, 45],
     [11, 5, 38],
     [11, 7, 58],
     [11, 8, 87],
     [11, 9, 69],
     [12, 1, 76],
     [12, 4, 48],
     [12, 7, 61],
     [12, 8, 88],
     [12, 9, 79],
     [12, 10, 62],
     [13, 0, 73],
     [13, 1, 70],
     [13, 2, 70],
     [13, 5, 53],
     [13, 6, 74],
     [13, 7, 52],
     [13, 8, 77],
     [13, 9, 66],
     [14, 0, 60],
     [14, 3, 57],
     [14, 5, 79],
     [14, 6, 63],
     [14, 7, 59],
     [14, 10, 39],
     [14, 13, 64],
     [15, 0, 55],
     [15, 1, 44],
     [15, 2, 71],
     [15, 3, 51],
     [15, 4, 70],
     [15, 5, 89],
     [15, 7, 42],
     [15, 8, 34],
     [15, 9, 70],
     [15, 10, 45],
     [15, 11, 77],
     [15, 12, 89],
     [15, 13, 46],
     [16, 0, 49],
     [16, 1, 68],
     [16, 2, 45],
     [16, 4, 84],
     [16, 7, 54],
     [16, 8, 56],
     [16, 9, 42],
     [16, 11, 69],
     [16, 13, 83],
     [16, 14, 77],
     [17, 2, 39],
     [17, 3, 31],
     [17, 5, 40],
     [17, 6, 70],
     [17, 7, 66],
     [17, 9, 48],
     [17, 11, 89],
     [17, 12, 46],
     [17, 14, 49],
     [17, 15, 43],
     [18, 0, 39],
     [18, 1, 87],
     [18, 3, 67],
     [18, 4, 74],
     [18, 5, 69],
     [18, 7, 31],
     [18, 8, 89],
     [18, 10, 71],
     [18, 12, 76],
     [18, 14, 45],
     [19, 0, 43],
     [19, 1, 68],
     [19, 3, 74],
     [19, 4, 46],
     [19, 5, 84],
     [19, 6, 72],
     [19, 7, 86],
     [19, 8, 88],
     [19, 10, 50],
     [19, 11, 77],
     [19, 14, 78],
     [19, 15, 33],
     [19, 18, 38],
     [20, 0, 33],
     [20, 1, 88],
     [20, 2, 46],
     [20, 3, 75],
     [20, 4, 51],
     [20, 5, 78],
     [20, 6, 50],
     [20, 7, 72],
     [20, 8, 64],
     [20, 9, 67],
     [20, 11, 70],
     [20, 13, 84],
     [20, 14, 44],
     [20, 15, 66],
     [20, 16, 43],
     [20, 19, 60],
     [21, 0, 35],
     [21, 1, 79],
     [21, 2, 54],
     [21, 3, 82],
     [21, 5, 48],
     [21, 7, 73],
     [21, 8, 59],
     [21, 9, 48],
     [21, 10, 58],
     [21, 11, 32],
     [21, 12, 56],
     [21, 13, 52],
     [21, 16, 47],
     [21, 17, 67],
     [21, 18, 32],
     [22, 0, 39],
     [22, 2, 73],
     [22, 3, 90],
     [22, 7, 50],
     [22, 8, 46],
     [22, 9, 54],
     [22, 10, 66],
     [22, 11, 75],
     [22, 12, 61],
     [22, 13, 73],
     [22, 14, 58],
     [22, 15, 72],
     [22, 16, 44],
     [22, 17, 40],
     [22, 18, 30],
     [22, 19, 67],
     [22, 20, 81],
     [22, 21, 78],
     [23, 0, 74],
     [23, 1, 83],
     [23, 2, 37],
     [23, 3, 49],
     [23, 4, 88],
     [23, 5, 81],
     [23, 7, 48],
     [23, 8, 88],
     [23, 9, 39],
     [23, 10, 76],
     [23, 11, 36],
     [23, 12, 52],
     [23, 13, 76],
     [23, 14, 70],
     [23, 15, 81],
     [23, 16, 56],
     [23, 17, 55],
     [23, 18, 35],
     [23, 20, 35],
     [23, 21, 32],
     [24, 0, 60],
     [24, 2, 69],
     [24, 3, 67],
     [24, 4, 64],
     [24, 5, 66],
     [24, 9, 41],
     [24, 10, 67],
     [24, 11, 55],
     [24, 12, 80],
     [24, 13, 41],
     [24, 14, 55],
     [24, 15, 41],
     [24, 16, 73],
     [24, 17, 72],
     [24, 18, 35],
     [24, 20, 59],
     [24, 22, 50],
     [24, 23, 54],
     [25, 0, 69],
     [25, 1, 54],
     [25, 2, 68],
     [25, 3, 51],
     [25, 4, 90],
     [25, 5, 73],
     [25, 7, 48],
     [25, 9, 50],
     [25, 10, 84],
     [25, 12, 38],
     [25, 13, 47],
     [25, 14, 30],
     [25, 15, 84],
     [25, 18, 70],
     [25, 19, 61],
     [25, 21, 59],
     [25, 22, 56],
     [25, 23, 58],
     [25, 24, 62],
     [26, 0, 30],
     [26, 1, 85],
     [26, 2, 59],
     [26, 3, 56],
     [26, 4, 51],
     [26, 5, 44],
     [26, 7, 66],
     [26, 8, 84],
     [26, 10, 35],
     [26, 13, 59],
     [26, 14, 80],
     [26, 15, 34],
     [26, 16, 66],
     [26, 17, 72],
     [26, 18, 86],
     [26, 21, 83],
     [26, 22, 69],
     [26, 24, 76],
     [26, 25, 81],
     [27, 0, 36],
     [27, 1, 75],
     [27, 4, 78],
     [27, 5, 43],
     [27, 7, 83],
     [27, 10, 43],
     [27, 11, 87],
     [27, 13, 32],
     [27, 17, 60],
     [27, 20, 66],
     [27, 21, 36],
     [27, 23, 73],
     [27, 24, 66],
     [27, 25, 32],
     [27, 26, 39],
     [28, 0, 52],
     [28, 1, 32],
     [28, 2, 36],
     [28, 3, 48],
     [28, 4, 41],
     [28, 5, 79],
     [28, 7, 31],
     [28, 8, 80],
     [28, 9, 47],
     [28, 11, 85],
     [28, 15, 79],
     [28, 16, 48],
     [28, 17, 87],
     [28, 18, 30],
     [28, 19, 51],
     [28, 20, 54],
     [28, 21, 62],
     [28, 25, 56],
     [29, 0, 74],
     [29, 1, 62],
     [29, 3, 79],
     [29, 5, 53],
     [29, 9, 90],
     [29, 11, 67],
     [29, 12, 79],
     [29, 14, 63],
     [29, 15, 84],
     [29, 16, 63],
     [29, 18, 60],
     [29, 20, 87],
     [29, 21, 45],
     [29, 22, 39],
     [29, 23, 67],
     [29, 25, 36],
     [29, 27, 73],
     [29, 28, 50],
     [30, 3, 84],
     [30, 4, 76],
     [30, 5, 81],
     [30, 7, 38],
     [30, 8, 89],
     [30, 9, 76],
     [30, 10, 79],
     [30, 11, 47],
     [30, 12, 55],
     [30, 13, 61],
     [30, 14, 50],
     [30, 16, 57],
     [30, 17, 86],
     [30, 18, 36],
     [30, 19, 53],
     [30, 21, 73],
     [30, 22, 61],
     [30, 23, 41],
     [30, 24, 79],
     [30, 25, 53],
     [30, 26, 42],
     [30, 27, 42],
     [30, 28, 55],
     [30, 29, 83],
     [31, 0, 72],
     [31, 2, 68],
     [31, 3, 58],
     [31, 5, 60],
     [31, 6, 41],
     [31, 8, 57],
     [31, 9, 71],
     [31, 12, 78],
     [31, 14, 88],
     [31, 15, 37],
     [31, 16, 65],
     [31, 18, 39],
     [31, 19, 68],
     [31, 21, 45],
     [31, 23, 58],
     [31, 24, 81],
     [31, 25, 56],
     [31, 26, 35],
     [31, 28, 67],
     [31, 29, 55],
     [31, 30, 58],
     [32, 1, 73],
     [32, 2, 77],
     [32, 3, 40],
     [32, 4, 43],
     [32, 5, 52],
     [32, 6, 52],
     [32, 7, 78],
     [32, 8, 46],
     [32, 9, 77],
     [32, 10, 51],
     [32, 11, 74],
     [32, 12, 62],
     [32, 13, 31],
     [32, 14, 46],
     [32, 15, 60],
     [32, 16, 62],
     [32, 17, 68],
     [32, 22, 90],
     [32, 24, 85],
     [32, 25, 73],
     [32, 26, 61],
     [32, 28, 48],
     [32, 29, 41],
     [32, 30, 85],
     [33, 0, 36],
     [33, 1, 70],
     [33, 2, 39],
     [33, 4, 71],
     [33, 6, 32],
     [33, 7, 65],
     [33, 8, 44],
     [33, 9, 58],
     [33, 10, 81],
     [33, 11, 75],
     [33, 12, 35],
     [33, 13, 68],
     [33, 14, 69],
     [33, 17, 57],
     [33, 19, 31],
     [33, 21, 59],
     [33, 22, 70],
     [33, 23, 72],
     [33, 24, 49],
     [33, 25, 43],
     [33, 27, 89],
     [33, 28, 32],
     [33, 29, 73],
     [33, 30, 36],
     [33, 31, 47],
     [33, 32, 86],
     [34, 0, 36],
     [34, 1, 58],
     [34, 2, 58],
     [34, 3, 53],
     [34, 4, 88],
     [34, 5, 85],
     [34, 6, 42],
     [34, 7, 78],
     [34, 8, 61],
     [34, 9, 73],
     [34, 11, 66],
     [34, 12, 70],
     [34, 13, 77],
     [34, 14, 30],
     [34, 15, 85],
     [34, 17, 38],
     [34, 18, 51],
     [34, 20, 46],
     [34, 22, 76],
     [34, 23, 84],
     [34, 25, 42],
     [34, 29, 88],
     [34, 30, 85],
     [34, 31, 74],
     [34, 32, 32],
     [34, 33, 43],
     [35, 0, 34],
     [35, 1, 80],
     [35, 2, 37],
     [35, 4, 79],
     [35, 5, 88],
     [35, 6, 48],
     [35, 7, 73],
     [35, 8, 72],
     [35, 9, 66],
     [35, 11, 60],
     [35, 12, 45],
     [35, 14, 58],
     [35, 15, 58],
     [35, 16, 33],
     [35, 17, 62],
     [35, 18, 39],
     [35, 20, 35],
     [35, 21, 83],
     [35, 25, 73],
     [35, 26, 76],
     [35, 27, 90],
     [35, 28, 43],
     [35, 29, 50],
     [35, 33, 76],
     [35, 34, 34],
     [36, 0, 60],
     [36, 1, 60],
     [36, 3, 57],
     [36, 6, 64],
     [36, 7, 32],
     [36, 10, 90],
     [36, 11, 66],
     [36, 12, 33],
     [36, 15, 51],
     [36, 16, 56],
     [36, 17, 86],
     [36, 20, 63],
     [36, 22, 56],
     [36, 25, 63],
     [36, 26, 83],
     [36, 28, 73],
     [36, 29, 67],
     [36, 30, 71],
     [36, 31, 37],
     [36, 32, 44],
     [36, 33, 83],
     [36, 35, 87],
     [37, 0, 83],
     [37, 1, 72],
     [37, 6, 82],
     [37, 8, 72],
     [37, 9, 42],
     [37, 10, 54],
     [37, 11, 81],
     [37, 12, 73],
     [37, 14, 50],
     [37, 18, 68],
     [37, 19, 50],
     [37, 21, 55],
     [37, 23, 89],
     [37, 24, 47],
     [37, 26, 79],
     [37, 30, 86],
     [37, 32, 67],
     [37, 34, 56],
     [37, 35, 54],
     [38, 0, 56],
     [38, 2, 66],
     [38, 3, 36],
     [38, 4, 33],
     [38, 5, 87],
     [38, 6, 63],
     [38, 10, 36],
     [38, 11, 33],
     [38, 12, 86],
     [38, 13, 53],
     [38, 14, 82],
     [38, 15, 69],
     [38, 17, 79],
     [38, 18, 37],
     [38, 20, 79],
     [38, 22, 49],
     [38, 23, 30],
     [38, 24, 82],
     [38, 25, 54],
     [38, 26, 78],
     [38, 30, 55],
     [38, 31, 44],
